Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
581003,23302,KNEELING MAT HOUSEWORK  DESIGN,24,2011-12-07 08:38:00,0.79,14911.0,EIRE
534497,21975,PACK OF 60 DINOSAUR CAKE CASES,2,2010-11-23 11:00:00,0.55,17811.0,United Kingdom
490118,85167A,WHITE GRAND BAROQUE PHOTO FRAME,2,2009-12-03 17:46:00,4.25,17851.0,United Kingdom
565453,20725,LUNCH BAG RED RETROSPOT,10,2011-09-04 16:05:00,1.65,15136.0,United Kingdom
493759,21905,MORE BUTTER METAL SIGN ,1,2010-01-06 13:56:00,2.1,17965.0,United Kingdom
558868,21746,SMALL RED RETROSPOT WINDMILL,12,2011-07-04 12:47:00,1.25,13266.0,United Kingdom
540455,20750,RED RETROSPOT MINI CASES,4,2011-01-07 12:07:00,7.95,12583.0,France
493819,21584,RETRO SPOT SMALL TUBE MATCHES,480,2010-01-07 12:34:00,1.45,14156.0,EIRE
539761,84826,ASSTD DESIGN 3D PAPER STICKERS,60,2010-12-22 10:29:00,0.21,17593.0,United Kingdom
544161,22767,TRIPLE PHOTO FRAME CORNICE ,4,2011-02-16 12:59:00,9.95,16875.0,United Kingdom
538170,21484,CHICK GREY HOT WATER BOTTLE,5,2010-12-09 19:32:00,3.45,13969.0,United Kingdom
521839,22393,PAPERWEIGHT VINTAGE COLLAGE,6,2010-09-09 10:50:00,2.55,12635.0,Germany
534499,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,1,2010-11-23 11:12:00,3.75,17372.0,United Kingdom
536796,21981,PACK OF 12 WOODLAND TISSUES ,1,2010-12-02 15:46:00,0.29,15574.0,United Kingdom
579171,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,6,2011-11-28 14:30:00,4.95,13030.0,United Kingdom
508103,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-05-13 10:15:00,7.95,14039.0,United Kingdom
556495,20828,GLITTER BUTTERFLY CLIPS,2,2011-06-12 15:14:00,2.55,18069.0,United Kingdom
537399,21931,JUMBO STORAGE BAG SUKI,1,2010-12-06 14:31:00,1.95,13030.0,United Kingdom
553183,22520,CHILDS GARDEN TROWEL BLUE ,12,2011-05-15 12:31:00,0.85,16076.0,United Kingdom
549981,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,2011-04-13 15:49:00,1.45,16348.0,United Kingdom
579102,22795,SWEETHEART RECIPE BOOK STAND,2,2011-11-28 11:33:00,6.75,14911.0,EIRE
559024,23245,SET OF 3 REGENCY CAKE TINS,4,2011-07-05 13:38:00,4.95,16616.0,United Kingdom
570192,23076,ICE CREAM SUNDAE LIP GLOSS,24,2011-10-07 15:26:00,1.25,17509.0,United Kingdom
579708,23209,LUNCH BAG VINTAGE DOILY ,10,2011-11-30 14:16:00,1.65,12682.0,France
570720,21983,PACK OF 12 BLUE PAISLEY TISSUES ,24,2011-10-12 10:50:00,0.29,17934.0,United Kingdom
552852,22984,CARD GINGHAM ROSE ,12,2011-05-11 15:08:00,0.42,16712.0,United Kingdom
524311,21805,WHITE CHRISTMAS TREE DECORATION ,15,2010-09-28 14:09:00,0.42,17841.0,United Kingdom
525030,21931,JUMBO STORAGE BAG SUKI,10,2010-10-03 12:18:00,1.95,15351.0,United Kingdom
492814,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,2009-12-20 13:17:00,0.55,14560.0,United Kingdom
504571,21506,"FANCY FONT BIRTHDAY CARD, ",12,2010-04-14 14:38:00,0.42,15572.0,United Kingdom
503968,22521,CHILDS GARDEN TROWEL PINK,12,2010-04-08 17:15:00,0.85,15129.0,United Kingdom
500336,72008,FROSTED BOX 9 WHITE T-LIGHT CANDLES,3,2010-03-07 13:48:00,0.42,17589.0,United Kingdom
575840,23507,MINI PLAYING CARDS BUFFALO BILL ,20,2011-11-11 11:56:00,0.42,13137.0,United Kingdom
504893,84658,WHITE STITCHED CUSHION COVER,2,2010-04-18 14:06:00,6.95,15972.0,United Kingdom
520745,22109,FULL ENGLISH BREAKFAST PLATE,16,2010-08-31 10:47:00,3.39,14032.0,United Kingdom
555005,21790,VINTAGE SNAP CARDS,144,2011-05-31 09:38:00,0.72,16656.0,United Kingdom
509417,22606,WOODEN SKITTLES GARDEN SET,1,2010-05-23 12:56:00,15.95,17081.0,United Kingdom
538182,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-10 10:18:00,2.95,17827.0,United Kingdom
553879,21155,RED RETROSPOT PEG BAG,6,2011-05-19 15:15:00,2.55,15791.0,United Kingdom
566400,22193,RED DINER WALL CLOCK,2,2011-09-12 13:16:00,8.5,17139.0,United Kingdom
490677,22300,COFFEE MUG DOG + BALL DESIGN,12,2009-12-07 13:17:00,2.55,18219.0,United Kingdom
559108,22174,PHOTO CUBE,48,2011-07-06 11:42:00,1.48,13094.0,United Kingdom
532964,22688,DOORMAT PEACE ON EARTH BLUE,1,2010-11-15 12:43:00,7.95,15493.0,United Kingdom
580119,21931,JUMBO STORAGE BAG SUKI,1,2011-12-01 16:37:00,2.08,17920.0,United Kingdom
532382,85034A,3 GARDENIA MORRIS BOXED CANDLES,3,2010-11-11 18:24:00,4.25,16081.0,United Kingdom
537446,35646,VINTAGE BEAD PINK EVENING BAG,4,2010-12-07 09:13:00,4.25,18055.0,United Kingdom
566539,22998,TRAVEL CARD WALLET KEEP CALM,8,2011-09-13 11:34:00,0.42,17228.0,United Kingdom
530092,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2010-11-01 13:46:00,2.95,15253.0,United Kingdom
526394,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-10-11 13:25:00,2.95,16527.0,United Kingdom
521663,20986,BLUE CALCULATOR RULER,12,2010-09-07 14:46:00,1.25,15367.0,United Kingdom
502869,22514,CHILDS GARDEN SPADE BLUE,4,2010-03-28 16:13:00,2.1,13113.0,United Kingdom
573096,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2011-10-27 14:40:00,1.65,14004.0,United Kingdom
543809,21467,CHERRY CROCHET FOOD COVER,2,2011-02-13 13:52:00,3.75,17095.0,United Kingdom
565649,22852,DOG BOWL VINTAGE CREAM,2,2011-09-05 16:27:00,4.25,16712.0,United Kingdom
573311,22597,MUSICAL ZINC HEART DECORATION ,3,2011-10-28 16:45:00,0.29,14071.0,United Kingdom
538850,22621,TRADITIONAL KNITTING NANCY,12,2010-12-14 13:31:00,1.45,16499.0,United Kingdom
522650,21676,FLOWERS  STICKERS,12,2010-09-16 10:49:00,0.85,13424.0,United Kingdom
559948,21294,ETCHED GLASS COASTER,48,2011-07-14 10:41:00,0.39,12653.0,Israel
546625,21935,SUKI  SHOULDER BAG,16,2011-03-15 11:45:00,1.65,17542.0,United Kingdom
533293,22834,HAND WARMER BABUSHKA DESIGN,12,2010-11-16 15:58:00,2.1,16145.0,United Kingdom
561195,22754,SMALL RED BABUSHKA NOTEBOOK ,3,2011-07-25 13:57:00,0.85,14796.0,United Kingdom
496882,21272,SALLE DE BAIN HOOK,1,2010-02-04 14:13:00,1.25,15167.0,United Kingdom
542595,48188,DOORMAT WELCOME PUPPIES,1,2011-01-30 10:19:00,7.95,14040.0,United Kingdom
563076,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,48,2011-08-11 16:12:00,1.45,14646.0,Netherlands
547383,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,2011-03-22 15:42:00,0.85,12613.0,Germany
543022,22508,DOORSTOP RETROSPOT HEART,2,2011-02-02 14:37:00,3.75,16771.0,United Kingdom
527767,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,24,2010-10-19 09:35:00,1.65,12623.0,Germany
543166,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,2011-02-04 08:27:00,2.95,13488.0,United Kingdom
559951,23203,JUMBO BAG DOILEY PATTERNS,10,2011-07-14 10:52:00,2.08,14847.0,United Kingdom
500663,21760,FRENCH STYLE WALL DRESSER,1,2010-03-09 12:10:00,125.0,17700.0,United Kingdom
494637,84519A,TOMATO CHARLIE+LOLA COASTER SET,2,2010-01-17 10:35:00,2.95,14451.0,United Kingdom
561047,21988,PACK OF 6 SKULL PAPER PLATES,12,2011-07-24 12:46:00,0.85,16948.0,United Kingdom
545908,48188,DOORMAT WELCOME PUPPIES,2,2011-03-08 09:26:00,7.95,14709.0,United Kingdom
533112,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2010-11-16 12:14:00,4.95,15311.0,United Kingdom
516287,22356,CHARLOTTE BAG PINK WITH WHITE SPOTS,10,2010-07-19 12:53:00,0.85,13081.0,United Kingdom
575087,23372,SET 36 COLOUR PENCILS DOLLY GIRL,2,2011-11-08 13:57:00,1.25,16549.0,United Kingdom
505916,22415,WHITE TISSUE REAM,1,2010-04-26 14:47:00,7.95,15867.0,United Kingdom
527764,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2010-10-19 09:07:00,3.75,16859.0,United Kingdom
569923,21754,HOME BUILDING BLOCK WORD,3,2011-10-06 17:43:00,6.25,16184.0,United Kingdom
501671,16169M,WRAP DAISY CARPET ,25,2010-03-18 15:11:00,0.42,18171.0,United Kingdom
496057,84508C,BLUE CIRCLES DESIGN TEDDY,6,2010-01-28 15:04:00,2.55,16137.0,United Kingdom
513814,20728,LUNCH BAG CARS BLUE,10,2010-06-29 09:59:00,1.65,15544.0,United Kingdom
560145,22963,JAM JAR WITH GREEN LID,12,2011-07-15 11:04:00,0.85,13381.0,United Kingdom
497035,21365,MIRRORED WALL ART STARS,1,2010-02-05 14:14:00,2.95,16704.0,United Kingdom
490124,48173C,DOOR MAT BLACK FLOCK ,1,2009-12-03 18:08:00,6.75,16791.0,United Kingdom
520524,22198,LARGE POPCORN HOLDER ,12,2010-08-26 14:25:00,1.65,16375.0,United Kingdom
527512,21591,COSY HOUR CIGAR BOX MATCHES ,24,2010-10-18 12:54:00,1.25,14130.0,United Kingdom
530792,22307,GOLD MUG BONE CHINA TREE OF LIFE,36,2010-11-04 12:17:00,1.65,15332.0,Lithuania
564372,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,2011-08-25 09:55:00,1.65,12714.0,France
516569,48187,DOORMAT NEW ENGLAND,10,2010-07-21 12:45:00,6.35,13093.0,United Kingdom
578035,21790,VINTAGE SNAP CARDS,24,2011-11-22 14:00:00,0.85,16422.0,United Kingdom
574292,22866,HAND WARMER SCOTTY DOG DESIGN,1,2011-11-03 15:27:00,2.1,16914.0,United Kingdom
510040,84925F,PSYCHEDELIC WALL THERMOMETER,24,2010-05-26 15:55:00,0.85,14626.0,United Kingdom
527505,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,2010-10-18 12:25:00,2.1,17841.0,United Kingdom
500719,21844,RETRO SPOT MUG,6,2010-03-09 15:16:00,2.95,16707.0,United Kingdom
529978,22312,OFFICE MUG WARMER POLKADOT,3,2010-10-31 15:18:00,2.95,13760.0,United Kingdom
564534,85231B,CINAMMON SET OF 9 T-LIGHTS,3,2011-08-25 15:09:00,0.85,12748.0,United Kingdom
555719,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,2011-06-06 15:31:00,0.85,12609.0,Germany
508220,21165,BEWARE OF THE CAT METAL SIGN ,1,2010-05-13 15:21:00,1.69,18168.0,United Kingdom
523307,22138,BAKING SET 9 PIECE RETROSPOT ,6,2010-09-21 12:56:00,4.95,17017.0,United Kingdom
533750,20977,36 PENCILS TUBE WOODLAND,3,2010-11-18 14:17:00,1.25,15571.0,United Kingdom
542894,35961,FOLKART ZINC HEART CHRISTMAS DEC,24,2011-02-01 13:45:00,0.85,12775.0,Netherlands
564336,22271,FELTCRAFT DOLL ROSIE,1,2011-08-24 14:28:00,2.95,12748.0,United Kingdom
508251,22434,BALLOON PUMP WITH 10 BALLOONS,16,2010-05-14 10:40:00,1.95,13157.0,United Kingdom
545577,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-03 19:18:00,4.95,14702.0,United Kingdom
500384,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,12,2010-03-08 10:45:00,2.1,17740.0,United Kingdom
560018,23191,BUNDLE OF 3 RETRO NOTE BOOKS,1,2011-07-14 12:52:00,1.65,15987.0,United Kingdom
575884,23480,MINI LIGHTS WOODLAND MUSHROOMS,4,2011-11-11 13:46:00,3.75,12685.0,France
496463,21164,HOME SWEET HOME METAL SIGN ,6,2010-02-01 14:52:00,2.95,15480.0,Malta
580640,22398,MAGNETS PACK OF 4 SWALLOWS,1,2011-12-05 12:51:00,0.39,16910.0,United Kingdom
572563,23209,LUNCH BAG VINTAGE DOILY ,10,2011-10-25 09:31:00,1.65,12928.0,United Kingdom
494007,21628,TRIANGULAR POUFFE VINTAGE ,1,2010-01-10 16:03:00,14.95,14606.0,United Kingdom
527043,21121,SET/10 RED POLKADOT PARTY CANDLES,1,2010-10-14 12:32:00,1.25,18090.0,United Kingdom
577485,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-11-20 11:56:00,4.25,16360.0,United Kingdom
509748,22427,ENAMEL FLOWER JUG CREAM,3,2010-05-25 13:51:00,5.95,15217.0,United Kingdom
555572,22449,SILK PURSE BABUSHKA PINK,6,2011-06-05 15:37:00,3.35,12449.0,Belgium
574936,20975,12 PENCILS SMALL TUBE RED RETROSPOT,3,2011-11-07 17:06:00,0.65,13066.0,United Kingdom
498903,21657,MILK BOTTLE WITH GLASS STOPPER ,3,2010-02-23 14:16:00,6.95,14112.0,United Kingdom
507418,47566,PARTY BUNTING,5,2010-05-09 14:52:00,4.65,17292.0,United Kingdom
505448,21080,SET/20 RED SPOTTY PAPER NAPKINS ,12,2010-04-22 11:14:00,0.85,17646.0,United Kingdom
557782,22819,"BIRTHDAY CARD, RETRO SPOT",12,2011-06-22 15:41:00,0.42,14640.0,United Kingdom
561098,22090,PAPER BUNTING RETROSPOT,6,2011-07-25 10:56:00,2.95,14194.0,United Kingdom
544661,22520,CHILDS GARDEN TROWEL BLUE ,12,2011-02-22 13:59:00,0.85,15303.0,United Kingdom
533294,84006,MAGIC TREE -PAPER FLOWERS,24,2010-11-16 16:01:00,0.85,13081.0,United Kingdom
577699,82552,WASHROOM METAL SIGN,12,2011-11-21 12:06:00,1.45,13971.0,United Kingdom
568671,23318,BOX OF 6 MINI VINTAGE CRACKERS,12,2011-09-28 13:13:00,2.49,13139.0,United Kingdom
563432,22667,RECIPE BOX RETROSPOT ,1,2011-08-16 12:12:00,2.95,16713.0,United Kingdom
570818,20724,RED RETROSPOT CHARLOTTE BAG,2,2011-10-12 12:47:00,0.85,17841.0,United Kingdom
517906,22121,NOEL WOODEN BLOCK LETTERS ,3,2010-08-03 09:53:00,5.95,15081.0,United Kingdom
491675,16169D,WRAP WINTER FOREST,50,2009-12-13 12:04:00,0.42,16710.0,United Kingdom
578307,23275,SET OF 3 HANGING OWLS OLLIE BEAK,1,2011-11-23 15:53:00,1.25,17290.0,United Kingdom
545681,20724,RED RETROSPOT CHARLOTTE BAG,4,2011-03-06 11:28:00,0.85,16923.0,United Kingdom
555524,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-06-05 11:37:00,2.95,16923.0,United Kingdom
511638,21934,SKULL SHOULDER BAG,4,2010-06-09 13:08:00,1.65,17346.0,United Kingdom
570271,21519,GIN & TONIC DIET GREETING CARD ,60,2011-10-10 10:29:00,0.42,13756.0,United Kingdom
543457,22652,TRAVEL SEWING KIT,100,2011-02-08 12:47:00,1.65,17428.0,United Kingdom
570824,23244,ROUND STORAGE TIN VINTAGE LEAF,6,2011-10-12 12:58:00,1.95,14299.0,United Kingdom
510792,16011,ANIMAL STICKERS,24,2010-06-03 16:33:00,0.21,15867.0,United Kingdom
573153,POST,POSTAGE,3,2011-10-28 07:39:00,145.0,12678.0,France
575576,23517,EMBROIDERED RIBBON REEL REBECCA ,6,2011-11-10 11:45:00,2.89,16025.0,United Kingdom
492117,48194,DOORMAT HEARTS,2,2009-12-15 14:10:00,6.75,15808.0,United Kingdom
572676,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,2011-10-25 13:30:00,2.08,16258.0,United Kingdom
569651,84992,72 SWEETHEART FAIRY CAKE CASES,1,2011-10-05 12:49:00,0.55,14534.0,United Kingdom
532580,22845,VINTAGE CREAM CAT FOOD CONTAINER,1,2010-11-12 14:18:00,6.35,15311.0,United Kingdom
499682,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2010-03-02 09:25:00,2.95,12623.0,Germany
562558,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,21,2011-08-05 16:43:00,0.85,13451.0,United Kingdom
523612,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2010-09-23 10:44:00,0.85,13001.0,United Kingdom
537034,21224,SET/4 SKULL BADGES,10,2010-12-03 17:20:00,1.25,13081.0,United Kingdom
567822,23232,WRAP VINTAGE LEAF DESIGN,25,2011-09-22 12:54:00,0.42,17644.0,United Kingdom
501515,85049B,LUSH GREENS RIBBONS,2,2010-03-17 11:53:00,1.25,15867.0,United Kingdom
578317,23493,VINTAGE DOILY TRAVEL SEWING KIT,10,2011-11-23 16:47:00,1.95,15398.0,United Kingdom
517742,35637C,PINK STRING CURTAIN WITH POLE,1,2010-08-01 15:41:00,5.95,15666.0,United Kingdom
492539,21635,MADRAS NOTEBOOK LARGE ,3,2009-12-17 13:35:00,3.75,16908.0,United Kingdom
517627,16206B,RED PURSE WITH PINK HEART,1,2010-07-30 12:19:00,1.25,16428.0,United Kingdom
491695,20688,BEAUTY SPEED EXPRESSO CUPS,1,2009-12-13 13:27:00,5.95,15850.0,United Kingdom
530902,21166,COOK WITH WINE METAL SIGN ,7,2010-11-04 15:13:00,1.95,14099.0,United Kingdom
540531,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,2011-01-09 14:03:00,1.25,16549.0,United Kingdom
530083,22784,LANTERN CREAM GAZEBO ,3,2010-11-01 13:04:00,4.95,13148.0,United Kingdom
551250,22384,LUNCH BAG PINK POLKADOT,1,2011-04-27 12:00:00,1.65,17841.0,United Kingdom
513626,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,2010-06-27 13:11:00,0.85,17364.0,United Kingdom
568158,23515,EMBROIDERED RIBBON REEL DAISY ,6,2011-09-25 12:22:00,2.08,16133.0,United Kingdom
568894,22662,LUNCH BAG DOLLY GIRL DESIGN,1,2011-09-29 13:04:00,1.65,17528.0,United Kingdom
493719,20914,SET/5 RED SPOTTY LID GLASS BOWLS,6,2010-01-06 10:17:00,2.95,14210.0,United Kingdom
516196,21332,MOROCCAN BEATEN METAL MIRROR,1,2010-07-19 10:07:00,12.75,14758.0,United Kingdom
547649,22197,SMALL POPCORN HOLDER,10,2011-03-24 12:02:00,0.85,18118.0,United Kingdom
577480,23096,PETIT TRAY CHIC,4,2011-11-20 11:37:00,1.65,14525.0,United Kingdom
